start,end,duration_s
2021-11-22 06:39:00+00:00,2021-11-22 06:41:40+00:00,160.0
2021-11-22 06:59:20+00:00,2021-11-22 07:08:50+00:00,570.0
2021-11-22 07:22:40+00:00,2021-11-22 07:32:10+00:00,570.0
2021-11-22 08:35:00+00:00,2021-11-22 08:39:40+00:00,280.0
2021-11-22 09:46:50+00:00,2021-11-22 09:52:50+00:00,360.0
2021-11-22 10:59:00+00:00,2021-11-22 11:05:40+00:00,400.0
2021-11-24 23:24:50+00:00,2021-11-24 23:29:20+00:00,270.0
2021-11-29 15:47:30+00:00,2021-11-29 15:51:40+00:00,250.0
2021-11-29 16:35:30+00:00,2021-11-29 16:42:00+00:00,390.0
2021-11-30 00:35:30+00:00,2021-11-30 00:42:00+00:00,390.0
2021-11-30 01:23:30+00:00,2021-11-30 01:30:50+00:00,440.0
2021-11-30 16:58:50+00:00,2021-11-30 17:01:20+00:00,150.0
